"# Top 25000 IPs based on the accumulated data gathered since AIP started","2020-06-12"
"Number","IP address","Rating"
"0","147.32.229.93","17628.635422408246"
"1","147.32.229.155","8128.552624735388"
"2","170.250.138.206","2566.387046867631"
"3","92.126.240.162","2426.7890359186645"
"4","216.245.221.83","2343.27103141728"
"5","92.207.240.90","2213.613163455423"
"6","123.18.206.41","1974.3123278335363"
"7","92.47.141.18","1969.2564605690802"
"8","88.255.84.68","1934.2134950660027"
"9","61.216.160.92","1913.1788844122304"
"10","14.98.229.18","1896.6379680693415"
"11","183.82.126.195","1704.2284757478294"
"12","190.242.60.208","1610.8234779756633"
"13","109.170.171.249","1603.235396839454"
"14","181.196.137.6","1598.9025362607588"
"15","80.243.180.45","1591.9681807661473"
"16","110.49.126.26","1526.5065840980035"
"17","79.120.9.127","1494.3789087662806"
"18","89.252.160.125","1466.7025338926005"
"19","195.120.23.138","1414.6644337214254"
"20","43.225.192.85","1411.1211519171961"
"21","200.219.199.188","1384.905508053105"
"22","50.206.140.122","1352.959066260174"
"23","116.97.243.142","1280.5622169284904"
"24","80.77.157.13","1257.1999704832547"
"25","5.63.88.202","1212.2974409194312"
"26","134.169.98.231","1208.7825935910203"
"27","41.106.6.234","1198.332633639852"
"28","196.28.236.5","1186.8785575885333"
"29","5.128.170.51","1182.5070103556977"
"30","192.198.82.76","1176.5906842896056"
"31","183.131.85.7","1160.3564595815153"
"32","37.182.75.80","1159.2494798355947"
"33","91.219.24.75","1138.4879683666502"
"34","100.38.226.58","1134.1271570040606"
"35","94.255.68.135","1116.9492320296938"
"36","147.30.107.138","1102.298900033626"
"37","41.111.132.33","1089.1593423666775"
"38","118.70.12.25","1055.8612868548835"
"39","117.4.240.49","1051.2430364612542"
"40","36.73.223.235","1044.6439676815696"
"41","117.6.128.63","1043.1442494247299"
"42","91.247.129.198","1012.1545887309508"
"43","81.1.241.22","972.0875642447138"
"44","190.104.214.18","960.438504774451"
"45","27.124.45.250","951.7457863247256"
"46","200.71.190.205","940.5132301423315"
"47","109.191.186.22","938.5164446070362"
"48","202.143.115.85","921.8403264444053"
"49","218.248.42.226","896.1369744926856"
"50","78.179.15.185","888.8814384112902"
"51","110.93.196.43","877.2055884444716"
"52","79.135.64.55","863.939635521995"
"53","111.249.45.31","862.3282048333485"
"54","190.98.104.91","855.4804280595656"
"55","217.23.77.86","855.127917388074"
"56","43.250.43.150","840.0520047132184"
"57","136.232.6.46","838.0988858661595"
"58","103.205.140.80","833.0232160886542"
"59","113.193.30.171","830.0118720977675"
"60","197.157.242.11","827.8875606760257"
"61","103.20.188.18","825.7058589035148"
"62","58.59.12.99","807.7955402606868"
"63","185.84.172.67","805.9469909774264"
"64","95.71.126.178","802.5972314876924"
"65","36.255.106.114","801.4950380013141"
"66","181.143.11.98","797.3155728912083"
"67","116.98.142.192","786.0433311862312"
"68","193.194.83.59","777.7557384059104"
"69","45.164.156.14","766.5732853969599"
"70","193.161.12.111","765.9575220664863"
"71","119.161.96.210","762.8787151828468"
"72","139.99.69.2","759.9939342573991"
"73","45.227.119.244","756.7226107130672"
"74","88.135.120.26","748.1509203405543"
"75","113.160.241.26","744.2679980052374"
"76","121.127.227.252","722.6138572089274"
"77","93.171.140.173","718.8317187985604"
"78","5.180.45.13","717.8637495581767"
"79","201.24.82.11","715.7429351774115"
"80","190.95.96.212","712.8690024663978"
"81","209.150.148.39","711.9778336883926"
"82","77.238.158.252","709.7843841753897"
"83","128.201.76.225","707.5758656526061"
"84","178.220.253.231","702.1456043990702"
"85","46.166.126.113","698.4749167212555"
"86","94.131.199.177","695.5107551070035"
"87","89.106.196.114","689.2270114107484"
"88","118.70.118.173","687.6883419333983"
"89","93.177.138.194","686.6672975709768"
"90","194.58.70.151","682.4889832408692"
"91","31.154.102.132","678.9888554503495"
"92","122.100.64.172","675.9586340553244"
"93","178.137.234.134","673.5824621652645"
"94","78.130.139.198","666.0528035430757"
"95","202.21.35.102","663.1087447851612"
"96","187.33.200.82","661.5250629844438"
"97","1.186.95.76","657.9965458921776"
"98","78.56.30.43","657.2278318518686"
"99","178.44.169.253","656.5895473704057"
"100","193.95.95.226","656.1319666119697"
"101","62.108.175.114","655.3331400045561"
"102","14.161.154.193","655.2150434509207"
"103","197.51.55.114","654.5216220202137"
"104","49.229.29.50","654.0695555204758"
"105","178.45.153.158","652.0059207520387"
"106","85.132.110.120","650.1762721718793"
"107","123.26.211.120","648.7872118073111"
"108","144.91.118.145","648.2084299885573"
"109","103.12.211.215","646.1292200642639"
"110","80.18.170.155","644.2870578595507"
"111","222.175.132.58","644.2402530054345"
"112","31.181.124.105","643.9007270862522"
"113","185.229.9.135","643.8845142137652"
"114","95.58.224.142","642.3379641112111"
"115","12.47.158.106","640.1871598585618"
"116","197.41.249.98","637.2843456127775"
"117","165.165.147.154","634.9012425833497"
"118","188.247.61.238","634.5681507962233"
"119","109.111.19.20","632.9828155011057"
"120","88.200.217.105","630.6646766803506"
"121","168.226.217.29","629.163516296175"
"122","78.188.5.88","627.7883016167864"
"123","5.138.35.95","627.5048054509957"
"124","103.105.128.123","626.5831474185584"
"125","91.238.201.34","624.3405096667921"
"126","89.189.182.119","623.0262679672065"
"127","41.78.103.8","620.8995788115458"
"128","13.81.44.33","620.3931691714649"
"129","95.111.231.136","620.3512129042366"
"130","195.175.57.182","619.1828646331296"
"131","176.49.21.216","618.3230297389473"
"132","14.143.173.218","617.5018829323689"
"133","125.166.135.144","615.6148012304079"
"134","37.115.166.217","614.8846986786124"
"135","184.176.33.47","609.8655526996941"
"136","93.170.48.67","609.6192955836215"
"137","49.205.37.128","608.9848017853259"
"138","221.114.210.132","607.9979673090841"
"139","138.99.133.210","607.7370550895097"
"140","14.244.49.126","607.0809784729505"
"141","195.128.96.92","606.0969188825022"
"142","45.185.208.91","606.0598990930785"
"143","195.94.236.158","605.940457537456"
"144","114.37.74.138","605.0489843310032"
"145","178.91.108.7","604.7276992307362"
"146","190.111.122.68","604.2811595712918"
"147","178.44.189.173","604.0630511466697"
"148","177.97.69.222","599.5736960275246"
"149","77.222.109.17","598.2763973654219"
"150","105.174.28.222","597.487535364599"
"151","95.0.153.133","597.226841777063"
"152","198.144.149.254","593.85262899241"
"153","114.46.27.53","592.0434062411161"
"154","222.69.132.182","592.0108273218455"
"155","203.202.243.57","591.1542444491904"
"156","217.9.154.65","590.149250382193"
"157","168.181.255.241","589.5766918625201"
"158","201.151.189.178","589.1011235857128"
"159","37.18.63.28","589.0694817633256"
"160","91.219.164.73","586.1620110165251"
"161","202.141.242.3","585.5689236365854"
"162","91.245.79.71","584.7867007819906"
"163","193.242.176.237","584.5378107454427"
"164","221.120.192.94","583.6912770021663"
"165","114.79.160.36","583.0736951307643"
"166","80.82.61.69","582.995647096958"
"167","80.242.208.91","581.2890615962132"
"168","114.38.146.31","579.6852414255083"
"169","113.196.228.176","579.2005851829879"
"170","89.221.57.130","578.2254761516796"
"171","113.166.92.12","578.0111827169694"
"172","123.30.106.146","578.0110233085737"
"173","31.148.48.78","576.3655218309165"
"174","117.6.178.30","576.2385773742689"
"175","125.164.42.120","575.84366378157"
"176","14.99.64.170","575.7524154654864"
"177","118.168.131.155","575.5316728206509"
"178","122.152.52.40","575.2570977201099"
"179","2.59.119.46","574.6218144520388"
"180","1.10.241.75","573.8961158231035"
"181","221.132.18.37","573.2452523234006"
"182","186.209.61.87","571.6831774891657"
"183","72.194.178.82","571.6176734621536"
"184","178.141.21.250","570.5681870767406"
"185","92.63.184.174","570.1887982955238"
"186","176.100.113.213","569.0314970245626"
"187","115.160.142.170","568.8994449790052"
"188","70.183.213.232","568.3895177309113"
"189","202.66.164.119","566.2449462359104"
"190","182.19.26.50","565.6962436190706"
"191","176.62.233.51","564.1876797986722"
