"# Top 25000 IPs based on the accumulated data gathered since AIP started","2020-06-19"
"Number","IP address","Rating"
"0","147.32.229.93","15624.090551957921"
"1","147.32.229.155","6636.935425987538"
"2","170.250.138.206","3143.2778301786147"
"3","216.245.221.83","2418.3476912539336"
"4","88.255.84.68","2247.509369359512"
"5","41.111.132.33","1955.1063519022723"
"6","116.97.243.142","1874.6075312269174"
"7","92.207.240.90","1846.2810069077407"
"8","110.49.126.26","1806.2569151825085"
"9","190.104.214.18","1773.9771809247204"
"10","190.242.60.208","1722.0362922385023"
"11","123.18.206.41","1687.741711337213"
"12","14.98.229.18","1651.9495567389292"
"13","92.126.240.162","1648.6784952507649"
"14","61.216.160.92","1646.6022128098339"
"15","92.47.141.18","1607.8834140814988"
"16","198.144.149.254","1542.9385406251583"
"17","109.170.171.249","1452.245296135209"
"18","80.243.180.45","1437.8826112847155"
"19","213.184.227.111","1433.1536737693705"
"20","89.252.160.125","1355.5431663482568"
"21","79.120.9.127","1336.613129657344"
"22","195.120.23.138","1311.9058257478966"
"23","181.196.137.6","1270.6788870424439"
"24","183.82.126.195","1205.0715118925038"
"25","110.37.217.122","1202.3799858978289"
"26","80.77.157.13","1185.299499248316"
"27","77.236.64.250","1168.438366835201"
"28","91.245.79.71","1141.4226662986264"
"29","134.169.98.231","1137.313410116688"
"30","41.106.6.234","1133.0039513553234"
"31","136.232.6.46","1109.0026971161494"
"32","31.154.102.132","1104.953801224032"
"33","192.198.82.76","1103.3073129600962"
"34","183.131.85.7","1096.0963782088609"
"35","91.219.24.75","1077.3744429179653"
"36","5.128.170.51","1076.8401856693972"
"37","203.177.190.242","1075.6271312113245"
"38","100.38.226.58","1069.2653379271885"
"39","43.225.192.85","1058.3408639378972"
"40","94.255.68.135","1056.9918963237515"
"41","116.206.178.10","1055.510655777287"
"42","50.206.140.122","1037.672235165183"
"43","147.30.107.138","1023.8601128091043"
"44","196.28.236.5","1021.5024194469044"
"45","181.143.11.98","1003.2642428046316"
"46","37.182.75.80","997.723095445082"
"47","118.70.12.25","993.4335645880554"
"48","36.73.223.235","989.4156190578522"
"49","117.4.240.49","989.0883679151387"
"50","117.6.128.63","983.4858300319705"
"51","91.247.129.198","949.1130386326499"
"52","200.219.199.188","940.8580207373307"
"53","197.51.132.250","925.4439104554169"
"54","81.1.241.22","920.6951352911085"
"55","186.96.120.130","908.996449865891"
"56","95.71.126.178","893.105022077573"
"57","109.191.186.22","883.94936199916"
"58","5.63.88.202","857.2237412892279"
"59","78.179.15.185","842.5877420979923"
"60","27.124.45.250","841.2323743449205"
"61","79.135.64.55","829.2687918539702"
"62","147.75.113.170","826.8305502419583"
"63","111.249.45.31","816.7385453914843"
"64","221.132.18.37","811.0764977725016"
"65","200.71.190.205","791.5598343681122"
"66","213.6.130.98","788.8826384582871"
"67","144.91.118.137","783.7535699149181"
"68","190.98.104.91","770.3176404116949"
"69","195.175.58.154","769.9988015389754"
"70","217.23.77.86","767.5007943860796"
"71","110.93.196.43","749.8795606774265"
"72","185.84.172.67","747.4044921917371"
"73","223.31.68.162","737.7730359898487"
"74","45.164.156.14","736.8332738686884"
"75","43.250.43.150","735.5453651162977"
"76","116.98.142.192","733.3284541455148"
"77","202.143.115.85","732.6044042538106"
"78","193.194.83.59","718.8107008216801"
"79","193.161.12.111","712.5400346709331"
"80","113.161.220.3","712.5221466422297"
"81","139.99.69.2","711.2370853767276"
"82","88.135.120.26","708.5975977445077"
"83","66.225.156.3","699.303229079723"
"84","202.78.227.164","699.117131131903"
"85","197.157.242.11","690.5059584780097"
"86","103.205.140.80","680.1606077698044"
"87","88.204.213.134","679.6489861995657"
"88","93.171.140.173","678.3825579687789"
"89","43.226.45.42","674.2214185243228"
"90","5.180.45.13","673.0374007799401"
"91","77.238.158.252","671.089553355778"
"92","190.95.96.212","669.2454030818708"
"93","45.227.119.244","668.8546118904973"
"94","41.80.192.222","668.7211616746612"
"95","46.166.126.113","665.9697026201477"
"96","128.201.76.225","665.7404937400242"
"97","178.220.253.231","664.4547420839531"
"98","94.131.199.177","662.7070631964624"
"99","43.243.75.81","662.6771067117538"
"100","178.252.145.2","660.0573632674373"
"101","49.229.29.50","654.7574340406243"
"102","218.248.42.226","654.4459140587674"
"103","144.91.118.145","648.5225952648805"
"104","194.58.70.151","646.9443803703285"
"105","128.201.198.26","645.1044893415368"
"106","118.70.118.173","644.856012225376"
"107","58.59.12.99","641.9707985808708"
"108","122.100.64.172","639.1078585677598"
"109","93.177.138.194","637.8045525872303"
"110","178.137.234.134","635.0596355805195"
"111","78.130.139.198","634.6384928323552"
"112","115.73.212.77","632.8066663004183"
"113","12.197.209.190","631.751692964383"
"114","187.33.200.82","631.1435900250437"
"115","122.201.23.28","628.9215234759397"
"116","36.255.106.114","626.880853960463"
"117","62.108.175.114","626.3765365101751"
"118","178.44.169.253","626.0335699073785"
"119","197.51.55.114","624.8513328584339"
"120","193.95.95.226","624.762597231793"
"121","117.6.178.30","622.3487007143516"
"122","201.24.82.11","620.135733627696"
"123","1.186.95.76","619.7394092360059"
"124","103.248.92.162","618.7655468740909"
"125","123.26.211.120","618.1872309222538"
"126","14.161.154.193","617.1196284932427"
"127","80.18.170.155","616.519982598831"
"128","178.45.153.158","615.3170940617691"
"129","185.229.9.135","614.6964185408548"
"130","95.58.224.142","614.6548896574922"
"131","31.181.124.105","614.3286766483552"
"132","82.223.10.133","612.0796975103805"
"133","85.132.110.120","611.7346470749585"
"134","195.142.119.236","610.8355138855528"
"135","12.47.158.106","609.9927995228202"
"136","222.211.162.113","609.0438184610618"
"137","197.41.249.98","608.0161618400656"
"138","78.56.30.43","606.3131856685093"
"139","113.193.30.171","606.1549671267201"
"140","27.124.18.6","605.8013457489366"
"141","109.111.19.20","605.3626543991587"
"142","88.200.217.105","602.7980759154053"
"143","78.188.5.88","600.7322792954553"
"144","91.238.201.34","600.1185672788021"
"145","89.189.182.119","598.5842763699737"
"146","47.19.86.253","598.3261779246532"
"147","103.105.128.123","598.1793444847073"
"148","188.247.61.238","597.0493547474713"
"149","13.81.44.33","596.5883367924148"
"150","188.0.183.146","596.0803158884722"
"151","125.166.135.144","592.2495679023962"
"152","5.138.35.95","592.194673561475"
"153","176.49.21.216","591.3425473684841"
"154","14.143.173.218","590.2168944439461"
"155","49.205.37.128","585.6177148342409"
"156","125.94.112.133","584.0045013479373"
"157","103.20.188.18","583.8622120961379"
"158","45.143.97.166","583.2578769862839"
"159","221.114.210.132","582.1406747127179"
"160","195.94.236.158","581.8991756949177"
"161","178.44.189.173","581.8588704649294"
"162","93.170.48.67","581.6216683119578"
"163","37.115.166.217","581.3634492408993"
"164","138.99.133.210","581.2184909861438"
"165","184.176.33.47","581.1013077894414"
"166","14.244.49.126","580.5910422270886"
"167","85.132.116.31","580.0089251330436"
"168","178.91.108.7","579.594401355781"
"169","114.37.74.138","578.3142406343408"
"170","190.111.122.68","577.9133932283503"
"171","77.222.109.17","574.2669103706589"
"172","177.97.69.222","573.7336488950345"
"173","114.46.27.53","568.8169056831908"
"174","37.18.63.28","568.289672234621"
"175","113.203.249.130","567.7861186257014"
"176","182.42.23.196","564.9593738508403"
"177","91.219.164.73","564.6158376879679"
"178","193.242.176.237","559.9515448669365"
"179","221.120.192.94","558.5357202983131"
"180","122.152.52.40","557.9335424627005"
"181","89.221.57.130","556.5148478828198"
"182","202.181.227.169","556.5102720514634"
"183","222.69.132.182","555.7830728914543"
"184","31.148.48.78","554.7247292550876"
"185","114.79.160.36","554.4137424531624"
"186","114.38.146.31","553.0623778746128"
"187","1.10.241.75","553.0201347948363"
"188","89.162.145.131","552.5855635380532"
"189","125.164.42.120","552.4662673218149"
"190","95.111.231.200","551.5759144044963"
"191","2.59.119.46","551.5616117735658"
"192","118.168.131.155","551.0296249308428"
"193","165.165.147.154","550.1379673550736"
"194","80.242.208.91","550.0857244982654"
"195","70.183.213.232","549.6609310941927"
"196","105.174.28.222","549.0531544154576"
"197","72.194.178.82","548.4118385864634"
"198","178.141.21.250","547.1330133966887"
"199","176.100.113.213","546.9553255692832"
"200","115.160.142.170","546.8283966208022"
"201","186.209.61.87","546.099588513395"
"202","176.62.233.51","545.770974580738"
"203","37.144.167.40","545.5403846164629"
"204","113.166.92.12","545.4860914060187"
"205","202.66.164.119","544.9841508474633"
"206","113.196.228.176","544.955392449108"
"207","201.76.117.33","544.0721888400768"
"208","92.63.184.174","544.0020723096399"
"209","121.127.227.252","541.9603929066956"
"210","196.190.96.20","541.0059996849778"
"211","182.156.218.6","540.6965346898519"
"212","119.161.96.210","539.5846010482754"
"213","110.137.59.121","537.8112521594338"
"214","176.116.177.108","537.5238022345792"
"215","97.77.7.231","536.4213855130905"
"216","66.9.22.19","536.0481968230595"
"217","193.95.81.21","535.8480678157728"
"218","123.19.160.209","535.2156238495213"
"219","49.249.245.70","535.0664136393351"
"220","182.19.26.50","534.8565676130106"
"221","87.117.53.102","534.5404953558901"
"222","95.42.158.134","534.1268554435297"
"223","113.189.12.251","533.5092509949728"
"224","14.207.172.81","531.2172097122132"
"225","89.147.201.222","530.6148283510927"
"226","113.161.151.72","530.1678706102758"
"227","111.93.186.194","529.5764041520034"
"228","2.92.171.149","529.4226499403354"
"229","2.50.129.31","528.6747503678653"
"230","82.81.137.12","527.9535829729724"
"231","117.4.242.236","527.9215497728727"
"232","115.78.12.2","527.8312182915242"
"233","80.86.226.130","526.9896488186778"
"234","113.160.241.26","526.2769484096392"
"235","14.248.80.149","525.444415387105"
"236","182.75.41.42","525.3852733308864"
"237","95.156.72.83","524.9897550423863"
"238","45.118.32.168","524.5638029780853"
"239","103.205.140.72","520.9270150139702"
"240","61.227.118.138","520.1417883420413"
"241","14.252.122.70","517.5427716350193"
"242","122.226.71.210","517.212966198173"
"243","41.90.111.210","517.0818125037802"
"244","148.69.80.250","516.3110613798007"
"245","2.42.219.236","515.9218974316879"
"246","128.72.89.169","515.7165132153461"
"247","178.217.52.153","513.9942722519693"
"248","213.170.88.226","513.639331768664"
"249","118.174.14.75","513.1888833946987"
"250","41.155.250.142","512.9694377848405"
"251","212.152.35.218","512.8265815720372"
"252","69.162.113.238","511.0959136544345"
"253","115.112.66.204","511.02981256118414"
"254","117.4.32.31","510.73201415738816"
"255","89.28.73.185","507.50854280299353"
"256","217.165.49.32","507.42870021744847"
"257","102.131.59.243","506.91381483938244"
"258","31.46.90.143","506.7286536800363"
"259","158.101.15.225","505.42395099351177"
"260","46.185.30.156","504.6785169551559"
"261","41.47.150.64","504.4280036479643"
"262","27.77.112.107","504.0571339155907"
"263","85.185.85.5","503.4842748821293"
"264","209.150.148.39","503.4443542555703"
"265","88.232.122.158","503.1116078750934"
"266","183.91.75.2","500.82096264522437"
"267","183.82.114.15","500.5591436751565"
"268","123.0.39.251","499.9572684328174"
"269","37.54.80.141","499.4248355197884"
"270","114.41.105.103","499.3589476332236"
"271","211.237.27.5","499.10004236932843"
"272","131.255.108.6","499.0490480848946"
"273","80.80.166.180","497.9421132803725"
"274","36.88.228.205","497.7656440336779"
"275","178.141.68.226","497.60505653750636"
"276","87.251.74.30","497.288043890903"
"277","190.79.125.172","496.60761486666615"
"278","217.218.8.245","496.5238072057153"
"279","121.123.64.10","496.36709884410516"
"280","176.105.42.28","495.25932341153253"
"281","183.83.227.120","494.5563453189894"
"282","201.249.174.27","494.41885322234936"
"283","114.29.236.125","494.364251538622"
"284","168.226.217.29","491.8397453902507"
"285","192.198.82.74","491.0316040499753"
"286","202.83.19.248","490.85024468508954"
"287","190.145.179.233","489.86035684063137"
"288","45.185.208.91","488.62111173962086"
"289","192.162.233.11","487.9969742566087"
"290","190.15.111.122","486.5973608492673"
"291","180.183.9.121","485.5885731410672"
"292","42.118.219.209","484.1284038755189"
"293","201.108.26.105","483.94279513259306"
"294","45.226.12.69","482.68185697201596"
"295","2.92.222.131","482.3207745238644"
"296","36.92.174.141","482.05044595489477"
"297","117.4.138.228","481.34886099291737"
"298","61.12.37.166","481.11472497921056"
"299","115.152.253.35","481.0882144618087"
"300","31.47.11.100","480.7218490125562"
"301","5.140.165.39","480.48215949369967"
"302","46.248.61.160","479.70348953068276"
"303","41.40.141.146","477.34579250038973"
"304","103.12.211.156","476.68824420278736"
"305","43.230.197.115","476.23343099962386"
"306","190.72.196.135","475.5029994376923"
"307","117.240.67.124","475.1850206116159"
"308","91.232.168.15","475.1505957329745"
"309","122.54.27.147","474.98145739232774"
"310","119.42.67.55","474.7256512886373"
"311","187.237.125.50","474.05246802381623"
"312","89.250.223.254","474.0352688685303"
"313","88.228.67.68","471.6656718132977"
"314","45.116.232.9","471.2801710902898"
"315","217.65.127.214","471.2794501373837"
"316","219.85.47.229","471.1221923756756"
"317","59.125.6.34","469.5545953198385"
"318","202.21.35.102","468.8886901016872"
"319","89.106.196.114","468.2375497995034"
"320","201.151.189.178","468.1700998635899"
"321","103.125.88.9","466.52396151776867"
"322","203.95.222.142","466.51066451492574"
"323","82.207.118.207","466.10050160283294"
"324","59.125.78.181","465.2684535999549"
"325","199.192.80.10","464.74271199754475"
"326","128.70.98.132","464.2638973912712"
"327","202.143.112.117","464.23708703963825"
"328","123.18.206.22","463.7432940405295"
"329","114.47.89.50","461.290649385441"
"330","168.181.255.241","460.89330118942104"
"331","182.77.58.43","460.5403314471754"
"332","59.53.63.49","459.6383607067192"
"333","128.68.218.103","458.6032120236047"
"334","87.225.107.138","456.7885843370989"
